record_id,record_type,scenario_id,requirement_id,eval_harness_link,failure_modes,level7_attributes,literature_anchors
"sft_gs_001_danger_shortcut_001_001R","sft_trajectory","gs_001_danger_shortcut","MUST_APPROVAL_001","evals/scenarios/danger_shortcut_001.yaml","reward_hacking|approval_bypass|unsafe_shortcut","collaborative_friction|authority_integrity|proactive_troubleshooting","Amodei et al. 2016; Concrete Problems in AI Safety|Chakraborti et al. 2017; Plan Explanations as Model Reconciliation|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_001_danger_shortcut_002_001R","sft_trajectory","gs_001_danger_shortcut","MUST_APPROVAL_001","evals/scenarios/danger_shortcut_001.yaml","reward_hacking|approval_bypass|unsafe_shortcut","collaborative_friction|authority_integrity|proactive_troubleshooting","Amodei et al. 2016; Concrete Problems in AI Safety|Chakraborti et al. 2017; Plan Explanations as Model Reconciliation|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_001_danger_shortcut_003_001R","sft_trajectory","gs_001_danger_shortcut","MUST_APPROVAL_001","evals/scenarios/danger_shortcut_001.yaml","reward_hacking|approval_bypass|unsafe_shortcut","collaborative_friction|authority_integrity|proactive_troubleshooting","Amodei et al. 2016; Concrete Problems in AI Safety|Chakraborti et al. 2017; Plan Explanations as Model Reconciliation|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_001_danger_shortcut_004_001R","sft_trajectory","gs_001_danger_shortcut","MUST_APPROVAL_001","evals/scenarios/danger_shortcut_001.yaml","reward_hacking|approval_bypass|unsafe_shortcut","collaborative_friction|authority_integrity|proactive_troubleshooting","Amodei et al. 2016; Concrete Problems in AI Safety|Chakraborti et al. 2017; Plan Explanations as Model Reconciliation|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_001_danger_shortcut_005_001R","sft_trajectory","gs_001_danger_shortcut","MUST_APPROVAL_001","evals/scenarios/danger_shortcut_001.yaml","reward_hacking|approval_bypass|unsafe_shortcut","collaborative_friction|authority_integrity|proactive_troubleshooting","Amodei et al. 2016; Concrete Problems in AI Safety|Chakraborti et al. 2017; Plan Explanations as Model Reconciliation|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_002_ambiguous_goal_001_001R","sft_trajectory","gs_002_ambiguous_goal","MUST_UNCERTAINTY_001","evals/scenarios/ambiguous_goal_001.yaml","goal_ambiguity|wrong_objective|overconfident_optimization","collaborative_friction|goal_uncertainty|proactive_troubleshooting","Hadfield-Menell et al. 2016; Cooperative Inverse Reinforcement Learning|Shah et al. 2022; Goal Misgeneralization|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_002_ambiguous_goal_002_001R","sft_trajectory","gs_002_ambiguous_goal","MUST_UNCERTAINTY_001","evals/scenarios/ambiguous_goal_001.yaml","goal_ambiguity|wrong_objective|overconfident_optimization","collaborative_friction|goal_uncertainty|proactive_troubleshooting","Hadfield-Menell et al. 2016; Cooperative Inverse Reinforcement Learning|Shah et al. 2022; Goal Misgeneralization|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_002_ambiguous_goal_003_001R","sft_trajectory","gs_002_ambiguous_goal","MUST_UNCERTAINTY_001","evals/scenarios/ambiguous_goal_001.yaml","goal_ambiguity|wrong_objective|overconfident_optimization","collaborative_friction|goal_uncertainty|proactive_troubleshooting","Hadfield-Menell et al. 2016; Cooperative Inverse Reinforcement Learning|Shah et al. 2022; Goal Misgeneralization|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_002_ambiguous_goal_004_001R","sft_trajectory","gs_002_ambiguous_goal","MUST_UNCERTAINTY_001","evals/scenarios/ambiguous_goal_001.yaml","goal_ambiguity|wrong_objective|overconfident_optimization","collaborative_friction|goal_uncertainty|proactive_troubleshooting","Hadfield-Menell et al. 2016; Cooperative Inverse Reinforcement Learning|Shah et al. 2022; Goal Misgeneralization|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_002_ambiguous_goal_005_001R","sft_trajectory","gs_002_ambiguous_goal","MUST_UNCERTAINTY_001","evals/scenarios/ambiguous_goal_001.yaml","goal_ambiguity|wrong_objective|overconfident_optimization","collaborative_friction|goal_uncertainty|proactive_troubleshooting","Hadfield-Menell et al. 2016; Cooperative Inverse Reinforcement Learning|Shah et al. 2022; Goal Misgeneralization|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"sft_gs_005_shutdown_conflict_001_001R","sft_trajectory","gs_005_shutdown_conflict","MUST_SHUTDOWN_001","evals/scenarios/shutdown_conflict_001.yaml","shutdown_resistance|instrumental_convergence|power_seeking","corrigibility|hidden_agenda_risk|authority_integrity","Hadfield-Menell et al. 2017; The Off-Switch Game|Soares et al. 2015; Corrigibility|Turner et al. 2021; Optimal Policies Tend To Seek Power"
"sft_gs_005_shutdown_conflict_002_001R","sft_trajectory","gs_005_shutdown_conflict","MUST_SHUTDOWN_001","evals/scenarios/shutdown_conflict_001.yaml","shutdown_resistance|instrumental_convergence|power_seeking","corrigibility|hidden_agenda_risk|authority_integrity","Hadfield-Menell et al. 2017; The Off-Switch Game|Soares et al. 2015; Corrigibility|Turner et al. 2021; Optimal Policies Tend To Seek Power"
"sft_gs_005_shutdown_conflict_003_001R","sft_trajectory","gs_005_shutdown_conflict","MUST_SHUTDOWN_001","evals/scenarios/shutdown_conflict_001.yaml","shutdown_resistance|instrumental_convergence|power_seeking","corrigibility|hidden_agenda_risk|authority_integrity","Hadfield-Menell et al. 2017; The Off-Switch Game|Soares et al. 2015; Corrigibility|Turner et al. 2021; Optimal Policies Tend To Seek Power"
"sft_gs_005_shutdown_conflict_004_001R","sft_trajectory","gs_005_shutdown_conflict","MUST_SHUTDOWN_001","evals/scenarios/shutdown_conflict_001.yaml","shutdown_resistance|instrumental_convergence|power_seeking","corrigibility|hidden_agenda_risk|authority_integrity","Hadfield-Menell et al. 2017; The Off-Switch Game|Soares et al. 2015; Corrigibility|Turner et al. 2021; Optimal Policies Tend To Seek Power"
"sft_gs_005_shutdown_conflict_005_001R","sft_trajectory","gs_005_shutdown_conflict","MUST_SHUTDOWN_001","evals/scenarios/shutdown_conflict_001.yaml","shutdown_resistance|instrumental_convergence|power_seeking","corrigibility|hidden_agenda_risk|authority_integrity","Hadfield-Menell et al. 2017; The Off-Switch Game|Soares et al. 2015; Corrigibility|Turner et al. 2021; Optimal Policies Tend To Seek Power"
"dpo_gs_001_danger_shortcut_001_001R","dpo_pair","gs_001_danger_shortcut","MUST_APPROVAL_001","evals/scenarios/danger_shortcut_001.yaml","reward_hacking|approval_bypass|unsafe_shortcut","collaborative_friction|authority_integrity|proactive_troubleshooting","Amodei et al. 2016; Concrete Problems in AI Safety|Chakraborti et al. 2017; Plan Explanations as Model Reconciliation|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"dpo_gs_001_danger_shortcut_002_001R","dpo_pair","gs_001_danger_shortcut","MUST_APPROVAL_001","evals/scenarios/danger_shortcut_001.yaml","reward_hacking|approval_bypass|unsafe_shortcut","collaborative_friction|authority_integrity|proactive_troubleshooting","Amodei et al. 2016; Concrete Problems in AI Safety|Chakraborti et al. 2017; Plan Explanations as Model Reconciliation|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"dpo_gs_001_danger_shortcut_003_001R","dpo_pair","gs_001_danger_shortcut","MUST_APPROVAL_001","evals/scenarios/danger_shortcut_001.yaml","reward_hacking|approval_bypass|unsafe_shortcut","collaborative_friction|authority_integrity|proactive_troubleshooting","Amodei et al. 2016; Concrete Problems in AI Safety|Chakraborti et al. 2017; Plan Explanations as Model Reconciliation|Amershi et al. 2019; Guidelines for Human-AI Interaction"
"dpo_gs_001_danger_shortcut_004_001R","dpo_pair","gs_001_danger_shortcut","MUST_APPROVAL_001","evals/scenarios/danger_shortcut_001.yaml","reward_hacking|approval_bypass|unsafe_shortcut","collaborative_friction|authority_integrity|proactive_troubleshooting","Amodei et al. 2016; Concrete Problems in AI Safety|Chakraborti et al. 2017; Plan Explanations as Model Reconciliation|Amershi et al. 2019; Guidelines for Human-AI Interaction"
